id,brand,collection,code,name,hex_approx,is_custom_match,placeholder,notes
PNT-BM-HC170,BM,Historical Collection,HC-170,Revere Pewter,#C2BAA8,false,false,Very popular warm greige · Coating: ML Campbell (ACC standard)
PNT-BM-HC172,BM,Historical Collection,HC-172,Pale Oak,#D9D0BF,false,false,Warm pale neutral · Coating: ML Campbell (ACC standard)
PNT-BM-HC173,BM,Historical Collection,HC-173,Sea Salt,#B8C4BD,false,false,Soft sage green · Coating: ML Campbell (ACC standard)
PNT-BM-2124-10,BM,Classic Colors,2124-10,Wrought Iron,#3D3D3A,false,false,Near-black with depth · Coating: ML Campbell (ACC standard)
PNT-BM-2128-10,BM,Classic Colors,2128-10,Black Beauty,#1F1F1F,false,false,True black · Coating: ML Campbell (ACC standard)
PNT-BM-2163-40,BM,Classic Colors,2163-40,Gray Owl,#D2CDC5,false,false,Clean cool gray · Coating: ML Campbell (ACC standard)
PNT-BM-AF-20,BM,Affinity,AF-20,Mascarpone,#EDE3CF,false,false,Rich cream · Coating: ML Campbell (ACC standard)
PNT-BM-AF-685,BM,Affinity,AF-685,Onyx,#2B2B2B,false,false,Deep black · Coating: ML Campbell (ACC standard)
PNT-BM-BMFULL-PLACEHOLDER,BM,(Full Catalog),—,Full BM catalog ingest pending,,false,true,~3500 BM colors total — load via fan deck export
PNT-SW-7757,SW,Whites & Neutrals,SW 7757,High Reflective White,#F5F5F2,false,false,SW brightest near-pure white · Coating: ML Campbell (ACC standard)
PNT-SW-7006,SW,Whites & Neutrals,SW 7006,Extra White,#F2EFE8,false,false,Bright clean white with slight warmth · Coating: ML Campbell (ACC standard)
PNT-SW-7005,SW,Whites & Neutrals,SW 7005,Pure White,#EDE8DF,false,false,Clean true white · Coating: ML Campbell (ACC standard)
PNT-SW-7004,SW,Whites & Neutrals,SW 7004,Snowbound,#EBE7DF,false,false,Cool off-white · Coating: ML Campbell (ACC standard)
PNT-SW-7003,SW,Whites & Neutrals,SW 7003,Toque White,#EAE5DC,false,false,Warm off-white · Coating: ML Campbell (ACC standard)
PNT-SW-7012,SW,Whites & Neutrals,SW 7012,Creamy,#F0E6D0,false,false,Warm ivory-cream — very popular cabinet color · Coating: ML Campbell (ACC standard)
PNT-SW-7008,SW,Whites & Neutrals,SW 7008,Alabaster,#EDE3D5,false,false,2016 Color of the Year; popular warm cabinet white · Coating: ML Campbell (ACC standard)
PNT-SW-7013,SW,Whites & Neutrals,SW 7013,Ivory Lace,#EEE4D1,false,false,Soft warm ivory · Coating: ML Campbell (ACC standard)
PNT-SW-7014,SW,Whites & Neutrals,SW 7014,Eider White,#EAE5D9,false,false,Warm gray-white · Coating: ML Campbell (ACC standard)
PNT-SW-7028,SW,Whites & Neutrals,SW 7028,Incredible White,#EBE6DB,false,false,Crisp neutral white · Coating: ML Campbell (ACC standard)
PNT-SW-7035,SW,Whites & Neutrals,SW 7035,Aesthetic White,#E8E0D0,false,false,Greige-white · Coating: ML Campbell (ACC standard)
PNT-SW-7551,SW,Naturals,SW 7551,Greek Villa,#EBE0CE,false,false,Warm cream · Coating: ML Campbell (ACC standard)
PNT-SW-6119,SW,Naturals,SW 6119,Antique White,#F0E4CC,false,false,Classic antique white with warm undertone · Coating: ML Campbell (ACC standard)
PNT-SW-6208,SW,Naturals,SW 6208,Latte,#C4B5A0,false,false,Warm creamy beige — mid-tone neutral · Coating: ML Campbell (ACC standard)
PNT-SW-7527,SW,Naturals,SW 7527,Antler Velvet,#BBA990,false,false,Warm tan-beige · Coating: ML Campbell (ACC standard)
PNT-SW-7528,SW,Naturals,SW 7528,Antelope,#C4B090,false,false,Golden beige · Coating: ML Campbell (ACC standard)
PNT-SW-7015,SW,Neutrals,SW 7015,Repose Gray,#C2BDB5,false,false,Most popular SW gray — versatile greige · Coating: ML Campbell (ACC standard)
PNT-SW-7016,SW,Neutrals,SW 7016,Mindful Gray,#B8B3AB,false,false,Warm mid-tone gray · Coating: ML Campbell (ACC standard)
PNT-SW-7022,SW,Neutrals,SW 7022,Alpaca,#D4CAC0,false,false,Soft warm greige · Coating: ML Campbell (ACC standard)
PNT-SW-7029,SW,Neutrals,SW 7029,Agreeable Gray,#CABFB1,false,false,Warm versatile gray — one of SW's most popular · Coating: ML Campbell (ACC standard)
PNT-SW-7030,SW,Neutrals,SW 7030,Anew Gray,#BEB8AF,false,false,Warm light gray · Coating: ML Campbell (ACC standard)
PNT-SW-7031,SW,Neutrals,SW 7031,Mega Greige,#C0B5A6,false,false,Warm greige · Coating: ML Campbell (ACC standard)
PNT-SW-7036,SW,Neutrals,SW 7036,Accessible Beige,#CCBFAF,false,false,Warm beige · Coating: ML Campbell (ACC standard)
PNT-SW-7037,SW,Neutrals,SW 7037,Balanced Beige,#C8BFAE,false,false,Classic warm beige · Coating: ML Campbell (ACC standard)
PNT-SW-7038,SW,Neutrals,SW 7038,Tony Taupe,#B3A897,false,false,Warm mid-tone taupe · Coating: ML Campbell (ACC standard)
PNT-SW-7039,SW,Neutrals,SW 7039,Virtual Taupe,#A89F93,false,false,Cool-leaning taupe · Coating: ML Campbell (ACC standard)
PNT-SW-7640,SW,Neutrals,SW 7640,Drift of Mist,#DDD8D0,false,false,Very light warm gray · Coating: ML Campbell (ACC standard)
PNT-SW-7641,SW,Neutrals,SW 7641,Colonnade Gray,#C4BEB5,false,false,Warm gray — popular accent color · Coating: ML Campbell (ACC standard)
PNT-SW-7642,SW,Neutrals,SW 7642,Pavestone,#9C968F,false,false,Medium warm gray · Coating: ML Campbell (ACC standard)
PNT-SW-7666,SW,Neutrals,SW 7666,Intellectual Tan,#C0AD98,false,false,Warm tan-beige · Coating: ML Campbell (ACC standard)
PNT-SW-7017,SW,Grays,SW 7017,Dorian Gray,#8E8881,false,false,Classic warm gray · Coating: ML Campbell (ACC standard)
PNT-SW-7018,SW,Grays,SW 7018,Dovetail,#8C857D,false,false,Mid-tone gray-brown · Coating: ML Campbell (ACC standard)
PNT-SW-7019,SW,Grays,SW 7019,Gauntlet Gray,#7C7870,false,false,Deep warm gray · Coating: ML Campbell (ACC standard)
PNT-SW-7021,SW,Grays,SW 7021,Requisite Gray,#9E9890,false,false,Warm neutral gray · Coating: ML Campbell (ACC standard)
PNT-SW-7043,SW,Grays,SW 7043,Worldly Gray,#C3BFBA,false,false,Cool-neutral light gray · Coating: ML Campbell (ACC standard)
PNT-SW-7044,SW,Grays,SW 7044,Amazing Gray,#B4B0AA,false,false,Balanced neutral gray · Coating: ML Campbell (ACC standard)
PNT-SW-7045,SW,Grays,SW 7045,Intellectual Gray,#8C8880,false,false,Cool dark gray · Coating: ML Campbell (ACC standard)
PNT-SW-7046,SW,Grays,SW 7046,Anonymous,#7D7972,false,false,Deep warm gray · Coating: ML Campbell (ACC standard)
PNT-SW-7047,SW,Grays,SW 7047,Porpoise,#6E6A65,false,false,Deep neutral gray · Coating: ML Campbell (ACC standard)
PNT-SW-7048,SW,Grays,SW 7048,Urbane Bronze,#59564F,false,false,SW 2021 Color of the Year — dark warm bronze-gray · Coating: ML Campbell (ACC standard)
PNT-SW-7674,SW,Dark Colors,SW 7674,Peppercorn,#5D5B55,false,false,Dark warm gray · Coating: ML Campbell (ACC standard)
PNT-SW-7020,SW,Dark Colors,SW 7020,Black Fox,#3E3832,false,false,Very dark warm brown-black · Coating: ML Campbell (ACC standard)
PNT-SW-7069,SW,Dark Colors,SW 7069,Iron Ore,#3D3B38,false,false,Dark charcoal with warm undertone — common on kitchen islands · Coating: ML Campbell
PNT-SW-6990,SW,Dark Colors,SW 6990,Caviar,#2A2926,false,false,Deep black with very subtle warmth · Coating: ML Campbell (ACC standard)
PNT-SW-6258,SW,Dark Colors,SW 6258,Tricorn Black,#101010,false,false,Very popular dark cabinet color — near-true black · Coating: ML Campbell (ACC standard)
PNT-SW-6991,SW,Dark Colors,SW 6991,Black Magic,#1A1A18,false,false,True black — KRIS 10573 Friar job · Coating: ML Campbell
PNT-SW-0065,SW,Greens,SW 0065,Vogue Green,#4A5E4A,false,false,Deep muted green — Bissell Bar cabinetry · Coating: ML Campbell
PNT-SW-6148,SW,Greens,SW 6148,Rosemary,#5A6B55,false,false,Muted sage green — popular accent · Coating: ML Campbell (ACC standard)
PNT-SW-6244,SW,Blues,SW 6244,Naval,#3A4A5A,false,false,Deep classic navy · Coating: ML Campbell (ACC standard)
PNT-SW-SWFULL-PLACEHOLDER,SW,(Full Catalog),—,Full SW catalog ingest pending,,false,true,~1700 SW colors total — load via SW color visualizer export
PNT-CUSTOM,Custom,Custom Match,—,Other / Custom Match,,true,false,Escape hatch — PM specifies brand + code or sample reference in finish notes
